Pin	Alternative Functions
PORT 0
P000	IRQ6-DS, AN100 / IVCMP2
P001	IRQ7-DS, AN101 / IVREF0
P002	IRQ8-DS, AN102 / IVCMP3
P003	AN104 / IVREF1
P004	IRQ9-DS, AN000 / IVCMP2
P005	IRQ10-DS, AN001
P006	IRQ11-DS, AN002 / IVCMP3
P007	AN004
P008	IRQ12-DS, AN008
P009	IRQ13-DS, AN006
P010	IRQ14, AN005 / IVCMP0
P014	AN007 / DA0
P015	IRQ13, AN105
PORT 1
P100	IRQ2, SCK9_A, DE9, MISOB_A, OM_SIO0, GTETRGA, AGTIO0
P101	IRQ1, RXD9_A / MISO9_A / SCL9_A, MOSIB_A, OM_SIO3, GTETRGB, AGTEE0
P102	TXD9_A / MOSI9_A / SDA9_A, RSPCKB_A, CRX0, OM_SIO4, GTIOC2B, AGTO0, ADTRG0
P103	CTS9_RTS9_A / SS9_A, DE9, SSLB0_A, CTX0, OM_SIO2, GTIOC2A
P104	IRQ1, CTS9_A, SSLB1_A, OM_CS1, GTETRGB, GTIOC1B
P105	IRQ0, SSLB2_A, OM_ECSINT1, GTIOC1A, ULPTO1-DS
P106	SSLB3_A, OM_RESET, AGTOB0, ULPTEE1-DS
P107	OM_CS0, AGTOA0
P112	TXD0_A / MOSI0_A / SDA0_A, SSLA2_B, SSIBCK0_B, ET0_CRS / RMII0_CRS_DV_A, GTIOC3B, ULPTOB0-DS
P113	RXD0_A / MISO0_A / SCL0_A, SSLA1_B, SSILRCK0 / SSIFS0_B, ET0_EXOUT, GTIOC2A, ULPTOA0-DS
P114	CTS0_RTS0_A / SS0_A, DE0, SSLA0_B, SSIRXD0_B, ET0_LINKSTA, GTIOC2B
P115	CTS0_A, MOSIA_B, SSITXD0_B, ET0_WOL, GTIOC5A
PORT 2
P200	NMI
P201	MD
P202	IRQ3-DS, MOSIA_A, CRX0, GTIOC5B, ULPTOB1
P203	IRQ2-DS, RSPCKA_A, CTX0, GTIOC5A, ULPTOA1
P204	SCK4_A, DE4, SSLA0_A, USB_OVRCURB, SSIBCK1_A, GTIOC4B, AGTIO1
P205	IRQ1-DS, TXD4_A / MOSI4_A / SDA4_A, SCL1_B, SSLA1_A, USB_OVRCURA, SSILRCK1 / SSIFS1_A, GTIOC4A, AGTO1
P206	IRQ0-DS, RXD4_A / MISO4_A / SCL4_A, SDA1_B, SSLA2_A, USB_VBUSEN, SSIDATA1_A
P208	IRQ3, RXD9_B / MISO9_B / SCL9_B, CRX1, GTIOC1B, VCOUT
P209	TXD9_B / MOSI9_B / SDA9_B, CTX1, GTIOC1A
P210	CTS_RTS9_B / SS9_B, DE9, GTIOC0B
P211	SCK9_B, DE9, GTIOC0A
P212	IRQ3, RXD1_C / MISO1_C / SCL1_C, GTETRGD, GTIOC0B, AGTEE1
P213	IRQ2, TXD1_C / MOSI1_C / SDA1_C, GTETRGC, GTIOC0A, ULPTEE0, ADTRG1
PORT 3
P300	IRQ4, SCK0_A, DE0, SSLA3_B, ET0_RX_CLK / RMII0_RX_ER_A, GTIOC3A, ULPTEVI0-DS
P301	IRQ6, ET0_ERXD0 / RMII0_RXD1_A, GTIOC4B, AGTIO0, ULPTEE0-DS
P302	IRQ5, ET0_ERXD1 / RMII0_RXD0_A, GTIOC4A, ULPTO0-DS
P303	ET0_ETXD0 / REF50CK0_A
P304	IRQ9, ET0_ETXD1 / RMII0_TXD0_A, ULPTO1
P305	IRQ8, ET0_RX_ER / RMII0_TXD1_A, ULPTEE1
P306	ET0_TX_EN / RMII0_TXD_EN_A, ULPTEVI1
P307	ET0_MDIO, ULPTOA1
P308	CTS9_B, ET0_MDC, ULPTOB1
P309	RXD3_B / MISO3_B / SCL3_B, ET0_ETXD3
P310	TXD3_B / MOSI3_B / SDA3_B, ET0_ETXD2, AGTEE1
P311	SCK3_B, DE3, CRX0, ET0_TX_ER, GTADSM1, AGTOB1
P312	CTS_RTS3_B / SS3_B, DE3, CTX0, ET0_TX_CLK, GTADSM0, AGTOA1
P313	CTS3_C, MISOA_A
PORT 4
P400	IRQ0, TXD1_A / MOSI1_A / SDA1_A, AUDIO_CLK, ET0_WOL, AGTIO1, ADTRG1, VIO_D0
P401	IRQ5-DS, RXD1_A / MISO1_A / SCL1_A, CTX0, ET0_MDC, GTETRGA, VIO_D1
P402	IRQ4-DS, SCK1_A, DE1, CRX0, AUDIO_CLK, ET0_MDIO, RTCIC0
P403	IRQ14-DS, CTS_RTS4_A / SS4_A, DE1, SSIBCK0_A, ET0_LINKSTA, GTIOC3A, RTCIC1
P404	IRQ15-DS, CTS1_A, SSILRCK0 / SSIFS0_A, ET0_EXOUT, GTIOC3B, RTCIC2, VIO_D3
P405	SCK2_B, DE2, SSITXD0_A, ET0_TX_EN / RMII0_TXD_EN_B, GTIOC1A, AGTIO1, VIO_D2
P406	TXD2_B / MOSI2_B / SDA2_B, SSLA3_C, SSIRXD0_A, ET0_RX_ER / RMII0_TXD1_B, GTIOC1B, VIO_D3
P407	CTS_RTS4_A / SS4_A, DE4, SDA0_B, SSLA3_A, USB_VBUS, GTIOC10B, AGTIO0, RTCOUT, ADTRG0
P408	IRQ7, CTS4_A, RXD3_A / MISO3_A / SCL3_A, SCL0_B, USB_VBUSEN, GTIOC10A, ULPTOB0
P409	IRQ6, TXD3_A / MOSI3_A / SDA3_A, SDA0_A, USB_OVRCURA-DS, ULPTOA0
P410	IRQ5, SCK3_A, DE3, SCL0_A, MISOB_B, USB_OVRCURB-DS, AGTOB1
P411	IRQ4, CTS_RTS3_A / SS3_A, DE3, MOSIB_B, USB_ID, AGTOA1
P412	CTS3_A, RSPCKB_B, USB_EXICEN, AGTEE1
P413	SSLB0_B, ULPTEE1
P414	IRQ9, RXD4_B / MISO4_B / SCL4_B, SSLB1_B, CRX1, GTADSM1, GTIOC0B
P415	IRQ8, TXD4_B / MOSI4_B / SDA4_B, SSLB2_B, CTX1, GTADSM0, GTIOC0A
PORT 5
P511	IRQ15, SDA1_A, CRX1, GTIOC0B
P512	IRQ14, SCL1_A, CTX1, GTIOC0A
P513	IVCMP0, VIO_FLD
PORT 6
P600	OM_RSTO1, ULPTEVI1-DS
P601	SCK0_B, DE0, OM_WP1, ULPTEVI0, RTCOUT
P602	RXD0_B / MISO0_B / SCL0_B, ULPTEE0
P603	TXD0_B / MOSI0_B / SDA0_B, ULPTO0
P604	CTS_RTS0_B / SS0_B, DE0
P605	CTS0_B
P609	TXD0_C / MOSI0_C / SDA0_C, MISOA_B, CTX1, ET0_RX_DV, GTIOC5B, ULPTOA1-DS
P610	RXD0_C / MISO0_C / SCL0_C, RSPCKA_B, CRX1, ET0_COL, GTIOC4A, ULPTOB1-DS
P611	SCK0_C, DE0, MOSIA_B, ET0_ERXD2, GTIOC4B
P612	CTS_RTS0_C / SS0_C, DE0, SSLA0_B, ET0_ERXD3
P613	CTS0_C, GTETRGA, AGTO1
P614	GTETRGB, AGTO0
PORT 7
P700	RXD2_B / MISO2_B / SCL2_B, MISOA_C, SSIDATA1_B, ET0_ETXD1 / RMII0_TXD0_B, GTIOC5A, VIO_D4
P701	CTS_RTS2_B / SS2_B, DE2, MOSIA_C, SSILRCK1 / SSIFS1_B, ET0_ETXD0 / REF50CK0_B, GTIOC5B, ULPTO1, VIO_D5
P702	CTS2_B, RSPCKA_C, SSIBCK1_B, ET0_ERXD1 / RMII0_RXD0_B, ULPTO0, VIO_D6
P703	SSLA0_C, ET0_ERXD0 / RMII0_RXD1_B, AGTO1, VCOUT, VIO_D7
P704	SSLA1_C, CTX0, ET0_RX_CLK / RMII0_RX_ER_B, GTADSM0, AGTO0
P705	CTS1_B, SSLA2_C, CRX0, ET0_CRS / RMII0_CRS_DV_B, GTADSM1, AGTIO0
